season,team,wins,games,win_pct
2007,Cardinals,8,16,0.5
2007,Chargers,13,19,0.6842105263157895
2007,Chiefs,4,16,0.25
2007,Colts,13,17,0.7647058823529411
2007,Commanders,9,17,0.5294117647058824
2007,Cowboys,13,17,0.7647058823529411
2007,Dolphins,1,16,0.0625
2007,Eagles,8,16,0.5
2007,Falcons,4,16,0.25
2007,Giants,14,20,0.7
2007,Jaguars,12,18,0.6666666666666666
2007,Jets,4,16,0.25
2007,Lions,7,16,0.4375
2007,Packers,14,18,0.7777777777777778
2007,Panthers,7,16,0.4375
2007,Patriots,18,19,0.9473684210526315
2007,Raiders,4,16,0.25
2007,Rams,3,16,0.1875
2007,Ravens,5,16,0.3125
2007,Saints,7,16,0.4375
2007,Seahawks,11,18,0.6111111111111112
2007,Steelers,10,17,0.5882352941176471
2007,Texans,8,16,0.5
2007,Titans,10,17,0.5882352941176471
2007,Vikings,8,16,0.5
2008,49ers,7,16,0.4375
2008,Bears,9,16,0.5625
2008,Bengals,4,16,0.25
2008,Bills,7,16,0.4375
2008,Broncos,8,16,0.5
2008,Browns,4,16,0.25
2008,Buccaneers,9,16,0.5625
2008,Cardinals,12,20,0.6
2008,Chargers,9,18,0.5
2008,Chiefs,2,16,0.125
2008,Colts,12,17,0.7058823529411765
2008,Commanders,8,16,0.5
2008,Cowboys,9,16,0.5625
2008,Dolphins,11,17,0.6470588235294118
2008,Eagles,11,19,0.5789473684210527
2008,Falcons,11,17,0.6470588235294118
2008,Giants,12,17,0.7058823529411765
2008,Jaguars,5,16,0.3125
2008,Jets,9,16,0.5625
2008,Lions,0,16,0.0
2008,Packers,6,16,0.375
2008,Panthers,12,17,0.7058823529411765
2008,Patriots,11,16,0.6875
2008,Raiders,5,16,0.3125
2008,Rams,2,16,0.125
2008,Ravens,13,19,0.6842105263157895
2008,Saints,8,16,0.5
2008,Seahawks,4,16,0.25
2008,Steelers,15,19,0.7894736842105263
2008,Texans,8,16,0.5
2008,Titans,13,17,0.7647058823529411
2008,Vikings,10,17,0.5882352941176471
2009,49ers,8,16,0.5
2009,Bears,7,16,0.4375
2009,Bengals,10,17,0.5882352941176471
2009,Bills,6,16,0.375
2009,Broncos,8,16,0.5
2009,Browns,5,16,0.3125
2009,Buccaneers,3,16,0.1875
2009,Cardinals,11,18,0.6111111111111112
2009,Chargers,13,17,0.7647058823529411
2009,Chiefs,4,16,0.25
2009,Colts,16,19,0.8421052631578947
2009,Commanders,4,16,0.25
2009,Cowboys,12,18,0.6666666666666666
2009,Dolphins,7,16,0.4375
2009,Eagles,11,17,0.6470588235294118
2009,Falcons,9,16,0.5625
2009,Giants,8,16,0.5
2009,Jaguars,7,16,0.4375
2009,Jets,11,19,0.5789473684210527
2009,Lions,2,16,0.125
2009,Packers,11,17,0.6470588235294118
2009,Panthers,8,16,0.5
2009,Patriots,10,17,0.5882352941176471
2009,Raiders,5,16,0.3125
2009,Rams,1,16,0.0625
2009,Ravens,10,18,0.5555555555555556
2009,Saints,16,19,0.8421052631578947
2009,Seahawks,5,16,0.3125
2009,Steelers,9,16,0.5625
2009,Texans,9,16,0.5625
2009,Titans,8,16,0.5
2009,Vikings,13,18,0.7222222222222222
2010,49ers,6,16,0.375
2010,Bears,12,18,0.6666666666666666
2010,Bengals,4,16,0.25
2010,Bills,4,16,0.25
2010,Broncos,4,16,0.25
2010,Browns,5,16,0.3125
2010,Buccaneers,10,16,0.625
2010,Cardinals,5,16,0.3125
2010,Chargers,9,16,0.5625
2010,Chiefs,10,17,0.5882352941176471
2010,Colts,10,17,0.5882352941176471
2010,Commanders,6,16,0.375
2010,Cowboys,6,16,0.375
2010,Dolphins,7,16,0.4375
2010,Eagles,10,17,0.5882352941176471
2010,Falcons,13,17,0.7647058823529411
2010,Giants,10,16,0.625
2010,Jaguars,8,16,0.5
2010,Jets,13,19,0.6842105263157895
2010,Lions,6,16,0.375
2010,Packers,14,20,0.7
2010,Panthers,2,16,0.125
2010,Patriots,14,17,0.8235294117647058
2010,Raiders,8,16,0.5
2010,Rams,7,16,0.4375
2010,Ravens,13,18,0.7222222222222222
2010,Saints,11,17,0.6470588235294118
2010,Seahawks,8,18,0.4444444444444444
2010,Steelers,14,19,0.7368421052631579
2010,Texans,6,16,0.375
2010,Titans,6,16,0.375
2010,Vikings,6,16,0.375
2011,49ers,14,18,0.7777777777777778
2011,Bears,8,16,0.5
2011,Bengals,9,17,0.5294117647058824
2011,Bills,6,16,0.375
2011,Broncos,9,18,0.5
2011,Browns,4,16,0.25
2011,Buccaneers,4,16,0.25
2011,Cardinals,8,16,0.5
2011,Chargers,8,16,0.5
2011,Chiefs,7,16,0.4375
2011,Colts,2,16,0.125
2011,Commanders,5,16,0.3125
2011,Cowboys,8,16,0.5
2011,Dolphins,6,16,0.375
2011,Eagles,8,16,0.5
2011,Falcons,10,17,0.5882352941176471
2011,Giants,13,20,0.65
2011,Jaguars,5,16,0.3125
2011,Jets,8,16,0.5
2011,Lions,10,17,0.5882352941176471
2011,Packers,15,17,0.8823529411764706
2011,Panthers,6,16,0.375
2011,Patriots,15,19,0.7894736842105263
2011,Raiders,8,16,0.5
2011,Rams,2,16,0.125
2011,Ravens,13,18,0.7222222222222222
2011,Saints,14,18,0.7777777777777778
2011,Seahawks,7,16,0.4375
2011,Steelers,12,17,0.7058823529411765
2011,Texans,11,18,0.6111111111111112
2011,Titans,9,16,0.5625
2011,Vikings,3,16,0.1875
2012,49ers,13,19,0.6842105263157895
2012,Bears,10,16,0.625
2012,Bengals,10,17,0.5882352941176471
2012,Bills,6,16,0.375
2012,Broncos,13,17,0.7647058823529411
2012,Browns,5,16,0.3125
2012,Buccaneers,7,16,0.4375
2012,Cardinals,5,16,0.3125
2012,Chargers,7,16,0.4375
2012,Chiefs,2,16,0.125
2012,Colts,11,17,0.6470588235294118
2012,Commanders,10,17,0.5882352941176471
2012,Cowboys,8,16,0.5
2012,Dolphins,7,16,0.4375
2012,Eagles,4,16,0.25
2012,Falcons,14,18,0.7777777777777778
2012,Giants,9,16,0.5625
2012,Jaguars,2,16,0.125
2012,Jets,6,16,0.375
2012,Lions,4,16,0.25
2012,Packers,12,18,0.6666666666666666
2012,Panthers,7,16,0.4375
2012,Patriots,13,18,0.7222222222222222
2012,Raiders,4,16,0.25
2012,Rams,7,16,0.4375
2012,Ravens,14,20,0.7
2012,Saints,7,16,0.4375
2012,Seahawks,12,18,0.6666666666666666
2012,Steelers,8,16,0.5
2012,Texans,13,18,0.7222222222222222
2012,Titans,6,16,0.375
2012,Vikings,10,17,0.5882352941176471
2013,49ers,14,19,0.7368421052631579
2013,Bears,8,16,0.5
2013,Bengals,11,17,0.6470588235294118
2013,Bills,6,16,0.375
2013,Broncos,15,19,0.7894736842105263
2013,Browns,4,16,0.25
2013,Buccaneers,4,16,0.25
2013,Cardinals,10,16,0.625
2013,Chargers,10,18,0.5555555555555556
2013,Chiefs,11,17,0.6470588235294118
2013,Colts,12,18,0.6666666666666666
2013,Commanders,3,16,0.1875
2013,Cowboys,8,16,0.5
2013,Dolphins,8,16,0.5
2013,Eagles,10,17,0.5882352941176471
2013,Falcons,4,16,0.25
2013,Giants,7,16,0.4375
2013,Jaguars,4,16,0.25
2013,Jets,8,16,0.5
2013,Lions,7,16,0.4375
2013,Packers,8,17,0.47058823529411764
2013,Panthers,12,17,0.7058823529411765
2013,Patriots,13,18,0.7222222222222222
2013,Raiders,4,16,0.25
2013,Rams,7,16,0.4375
2013,Ravens,8,16,0.5
2013,Saints,12,18,0.6666666666666666
2013,Seahawks,16,19,0.8421052631578947
2013,Steelers,8,16,0.5
2013,Texans,2,16,0.125
2013,Titans,7,16,0.4375
2013,Vikings,5,16,0.3125
2014,49ers,8,16,0.5
2014,Bears,5,16,0.3125
2014,Bengals,10,17,0.5882352941176471
2014,Bills,9,16,0.5625
2014,Broncos,12,17,0.7058823529411765
2014,Browns,7,16,0.4375
2014,Buccaneers,2,16,0.125
2014,Cardinals,11,17,0.6470588235294118
2014,Chargers,9,16,0.5625
2014,Chiefs,9,16,0.5625
2014,Colts,13,19,0.6842105263157895
2014,Commanders,4,16,0.25
2014,Cowboys,13,18,0.7222222222222222
2014,Dolphins,8,16,0.5
2014,Eagles,10,16,0.625
2014,Falcons,6,16,0.375
2014,Giants,6,16,0.375
2014,Jaguars,3,16,0.1875
2014,Jets,4,16,0.25
2014,Lions,11,17,0.6470588235294118
2014,Packers,13,18,0.7222222222222222
2014,Panthers,8,18,0.4444444444444444
2014,Patriots,15,19,0.7894736842105263
2014,Raiders,3,16,0.1875
2014,Rams,6,16,0.375
2014,Ravens,11,18,0.6111111111111112
2014,Saints,7,16,0.4375
2014,Seahawks,14,19,0.7368421052631579
2014,Steelers,11,17,0.6470588235294118
2014,Texans,9,16,0.5625
2014,Titans,2,16,0.125
2014,Vikings,7,16,0.4375
2015,49ers,5,16,0.3125
2015,Bears,6,16,0.375
2015,Bengals,12,17,0.7058823529411765
2015,Bills,8,16,0.5
2015,Broncos,15,19,0.7894736842105263
2015,Browns,3,16,0.1875
2015,Buccaneers,6,16,0.375
2015,Cardinals,14,18,0.7777777777777778
2015,Chargers,4,16,0.25
2015,Chiefs,12,18,0.6666666666666666
2015,Colts,8,16,0.5
2015,Commanders,9,17,0.5294117647058824
2015,Cowboys,4,16,0.25
2015,Dolphins,6,16,0.375
2015,Eagles,7,16,0.4375
2015,Falcons,8,16,0.5
2015,Giants,6,16,0.375
2015,Jaguars,5,16,0.3125
2015,Jets,10,16,0.625
2015,Lions,7,16,0.4375
2015,Packers,11,18,0.6111111111111112
2015,Panthers,17,19,0.8947368421052632
2015,Patriots,13,18,0.7222222222222222
2015,Raiders,7,16,0.4375
2015,Rams,7,16,0.4375
2015,Ravens,5,16,0.3125
2015,Saints,7,16,0.4375
2015,Seahawks,11,18,0.6111111111111112
2015,Steelers,11,18,0.6111111111111112
2015,Texans,9,17,0.5294117647058824
2015,Titans,3,16,0.1875
2015,Vikings,11,17,0.6470588235294118
2016,49ers,2,16,0.125
2016,Bears,3,16,0.1875
2016,Bengals,6,16,0.375
2016,Bills,7,16,0.4375
2016,Broncos,9,16,0.5625
2016,Browns,1,16,0.0625
2016,Buccaneers,9,16,0.5625
2016,Cardinals,7,16,0.4375
2016,Chargers,5,16,0.3125
2016,Chiefs,12,17,0.7058823529411765
2016,Colts,8,16,0.5
2016,Commanders,8,16,0.5
2016,Cowboys,13,17,0.7647058823529411
2016,Dolphins,10,17,0.5882352941176471
2016,Eagles,7,16,0.4375
2016,Falcons,13,19,0.6842105263157895
2016,Giants,11,17,0.6470588235294118
2016,Jaguars,3,16,0.1875
2016,Jets,5,16,0.3125
2016,Lions,9,17,0.5294117647058824
2016,Packers,12,19,0.631578947368421
2016,Panthers,6,16,0.375
2016,Patriots,17,19,0.8947368421052632
2016,Raiders,12,17,0.7058823529411765
2016,Rams,4,16,0.25
2016,Ravens,8,16,0.5
2016,Saints,7,16,0.4375
2016,Seahawks,11,18,0.6111111111111112
2016,Steelers,13,19,0.6842105263157895
2016,Texans,10,18,0.5555555555555556
2016,Titans,9,16,0.5625
2016,Vikings,8,16,0.5
2017,49ers,6,16,0.375
2017,Bears,5,16,0.3125
2017,Bengals,7,16,0.4375
2017,Bills,9,17,0.5294117647058824
2017,Broncos,5,16,0.3125
2017,Browns,0,16,0.0
2017,Buccaneers,5,16,0.3125
2017,Cardinals,8,16,0.5
2017,Chargers,9,16,0.5625
2017,Chiefs,10,17,0.5882352941176471
2017,Colts,4,16,0.25
2017,Commanders,7,16,0.4375
2017,Cowboys,9,16,0.5625
2017,Dolphins,6,16,0.375
2017,Eagles,16,19,0.8421052631578947
2017,Falcons,11,18,0.6111111111111112
2017,Giants,3,16,0.1875
2017,Jaguars,12,19,0.631578947368421
2017,Jets,5,16,0.3125
2017,Lions,9,16,0.5625
2017,Packers,7,16,0.4375
2017,Panthers,11,17,0.6470588235294118
2017,Patriots,15,19,0.7894736842105263
2017,Raiders,6,16,0.375
2017,Rams,11,17,0.6470588235294118
2017,Ravens,9,16,0.5625
2017,Saints,12,18,0.6666666666666666
2017,Seahawks,9,16,0.5625
2017,Steelers,13,17,0.7647058823529411
2017,Texans,4,16,0.25
2017,Titans,10,18,0.5555555555555556
2017,Vikings,14,18,0.7777777777777778
2018,49ers,4,16,0.25
2018,Bears,12,17,0.7058823529411765
2018,Bengals,6,16,0.375
2018,Bills,6,16,0.375
2018,Broncos,6,16,0.375
2018,Browns,7,16,0.4375
2018,Buccaneers,5,16,0.3125
2018,Cardinals,3,16,0.1875
2018,Chargers,13,18,0.7222222222222222
2018,Chiefs,13,18,0.7222222222222222
2018,Colts,11,18,0.6111111111111112
2018,Commanders,7,16,0.4375
2018,Cowboys,11,18,0.6111111111111112
2018,Dolphins,7,16,0.4375
2018,Eagles,10,18,0.5555555555555556
2018,Falcons,7,16,0.4375
2018,Giants,5,16,0.3125
2018,Jaguars,5,16,0.3125
2018,Jets,4,16,0.25
2018,Lions,6,16,0.375
2018,Packers,6,16,0.375
2018,Panthers,7,16,0.4375
2018,Patriots,14,19,0.7368421052631579
2018,Raiders,4,16,0.25
2018,Rams,15,19,0.7894736842105263
2018,Ravens,10,17,0.5882352941176471
2018,Saints,14,18,0.7777777777777778
2018,Seahawks,10,17,0.5882352941176471
2018,Steelers,9,16,0.5625
2018,Texans,11,17,0.6470588235294118
2018,Titans,9,16,0.5625
2018,Vikings,8,16,0.5
2019,49ers,15,19,0.7894736842105263
2019,Bears,8,16,0.5
2019,Bengals,2,16,0.125
2019,Bills,10,17,0.5882352941176471
2019,Broncos,7,16,0.4375
2019,Browns,6,16,0.375
2019,Buccaneers,7,16,0.4375
2019,Cardinals,5,16,0.3125
2019,Chargers,5,16,0.3125
2019,Chiefs,15,19,0.7894736842105263
2019,Colts,7,16,0.4375
2019,Commanders,3,16,0.1875
2019,Cowboys,8,16,0.5
2019,Dolphins,5,16,0.3125
2019,Eagles,9,17,0.5294117647058824
2019,Falcons,7,16,0.4375
2019,Giants,4,16,0.25
2019,Jaguars,6,16,0.375
2019,Jets,7,16,0.4375
2019,Lions,3,16,0.1875
2019,Packers,14,18,0.7777777777777778
2019,Panthers,5,16,0.3125
2019,Patriots,12,17,0.7058823529411765
2019,Raiders,7,16,0.4375
2019,Rams,9,16,0.5625
2019,Ravens,14,17,0.8235294117647058
2019,Saints,13,17,0.7647058823529411
2019,Seahawks,12,18,0.6666666666666666
2019,Steelers,8,16,0.5
2019,Texans,11,18,0.6111111111111112
2019,Titans,11,19,0.5789473684210527
2019,Vikings,11,18,0.6111111111111112
2020,49ers,6,16,0.375
2020,Bears,8,17,0.47058823529411764
2020,Bengals,4,16,0.25
2020,Bills,15,19,0.7894736842105263
2020,Broncos,5,16,0.3125
2020,Browns,12,18,0.6666666666666666
2020,Buccaneers,15,20,0.75
2020,Cardinals,8,16,0.5
2020,Chargers,7,16,0.4375
2020,Chiefs,16,19,0.8421052631578947
2020,Colts,11,17,0.6470588235294118
2020,Commanders,7,17,0.4117647058823529
2020,Cowboys,6,16,0.375
2020,Dolphins,10,16,0.625
2020,Eagles,4,16,0.25
2020,Falcons,4,16,0.25
2020,Giants,6,16,0.375
2020,Jaguars,1,16,0.0625
2020,Jets,2,16,0.125
2020,Lions,5,16,0.3125
2020,Packers,14,18,0.7777777777777778
2020,Panthers,5,16,0.3125
2020,Patriots,7,16,0.4375
2020,Raiders,8,16,0.5
2020,Rams,11,18,0.6111111111111112
2020,Ravens,12,18,0.6666666666666666
2020,Saints,13,18,0.7222222222222222
2020,Seahawks,12,17,0.7058823529411765
2020,Steelers,12,17,0.7058823529411765
2020,Texans,4,16,0.25
2020,Titans,11,17,0.6470588235294118
2020,Vikings,7,16,0.4375
2021,49ers,12,20,0.6
2021,Bears,6,17,0.35294117647058826
2021,Bengals,13,21,0.6190476190476191
2021,Bills,12,19,0.631578947368421
2021,Broncos,7,17,0.4117647058823529
2021,Browns,8,17,0.47058823529411764
2021,Buccaneers,14,19,0.7368421052631579
2021,Cardinals,11,18,0.6111111111111112
2021,Chargers,9,17,0.5294117647058824
2021,Chiefs,14,20,0.7
2021,Colts,9,17,0.5294117647058824
2021,Commanders,7,17,0.4117647058823529
2021,Cowboys,12,18,0.6666666666666666
2021,Dolphins,9,17,0.5294117647058824
2021,Eagles,9,18,0.5
2021,Falcons,7,17,0.4117647058823529
2021,Giants,4,17,0.23529411764705882
2021,Jaguars,3,17,0.17647058823529413
2021,Jets,4,17,0.23529411764705882
2021,Lions,3,17,0.17647058823529413
2021,Packers,13,18,0.7222222222222222
2021,Panthers,5,17,0.29411764705882354
2021,Patriots,10,18,0.5555555555555556
2021,Raiders,10,18,0.5555555555555556
2021,Rams,16,21,0.7619047619047619
2021,Ravens,8,17,0.47058823529411764
2021,Saints,9,17,0.5294117647058824
2021,Seahawks,7,17,0.4117647058823529
2021,Steelers,9,18,0.5
2021,Texans,4,17,0.23529411764705882
2021,Titans,12,18,0.6666666666666666
2021,Vikings,8,17,0.47058823529411764
2022,49ers,15,20,0.75
2022,Bears,3,17,0.17647058823529413
2022,Bengals,14,19,0.7368421052631579
2022,Bills,14,18,0.7777777777777778
2022,Broncos,5,17,0.29411764705882354
2022,Browns,7,17,0.4117647058823529
2022,Buccaneers,8,18,0.4444444444444444
2022,Cardinals,4,17,0.23529411764705882
2022,Chargers,10,18,0.5555555555555556
2022,Chiefs,17,20,0.85
2022,Colts,4,17,0.23529411764705882
2022,Commanders,8,17,0.47058823529411764
2022,Cowboys,13,19,0.6842105263157895
2022,Dolphins,9,18,0.5
2022,Eagles,16,20,0.8
2022,Falcons,7,17,0.4117647058823529
2022,Giants,10,19,0.5263157894736842
2022,Jaguars,10,19,0.5263157894736842
2022,Jets,7,17,0.4117647058823529
2022,Lions,9,17,0.5294117647058824
2022,Packers,8,17,0.47058823529411764
2022,Panthers,7,17,0.4117647058823529
2022,Patriots,8,17,0.47058823529411764
2022,Raiders,6,17,0.35294117647058826
2022,Rams,5,17,0.29411764705882354
2022,Ravens,10,18,0.5555555555555556
2022,Saints,7,17,0.4117647058823529
2022,Seahawks,9,18,0.5
2022,Steelers,9,17,0.5294117647058824
2022,Texans,3,17,0.17647058823529413
2022,Titans,7,17,0.4117647058823529
2022,Vikings,13,18,0.7222222222222222
2023,49ers,14,20,0.7
2023,Bears,7,17,0.4117647058823529
2023,Bengals,9,17,0.5294117647058824
2023,Bills,12,19,0.631578947368421
2023,Broncos,8,17,0.47058823529411764
2023,Browns,11,18,0.6111111111111112
2023,Buccaneers,10,19,0.5263157894736842
2023,Cardinals,4,17,0.23529411764705882
2023,Chargers,5,17,0.29411764705882354
2023,Chiefs,15,21,0.7142857142857143
2023,Colts,9,17,0.5294117647058824
2023,Commanders,4,17,0.23529411764705882
2023,Cowboys,12,18,0.6666666666666666
2023,Dolphins,11,18,0.6111111111111112
2023,Eagles,11,18,0.6111111111111112
2023,Falcons,7,17,0.4117647058823529
2023,Giants,6,17,0.35294117647058826
2023,Jaguars,9,17,0.5294117647058824
2023,Jets,7,17,0.4117647058823529
2023,Lions,14,20,0.7
2023,Packers,10,19,0.5263157894736842
2023,Panthers,2,17,0.11764705882352941
2023,Patriots,4,17,0.23529411764705882
2023,Raiders,8,17,0.47058823529411764
2023,Rams,10,18,0.5555555555555556
2023,Ravens,14,19,0.7368421052631579
2023,Saints,9,17,0.5294117647058824
2023,Seahawks,9,17,0.5294117647058824
2023,Steelers,10,18,0.5555555555555556
2023,Texans,11,19,0.5789473684210527
2023,Titans,6,17,0.35294117647058826
2023,Vikings,7,17,0.4117647058823529
2024,49ers,6,17,0.35294117647058826
2024,Bears,5,17,0.29411764705882354
2024,Bengals,9,17,0.5294117647058824
2024,Bills,15,20,0.75
2024,Broncos,10,18,0.5555555555555556
2024,Browns,3,17,0.17647058823529413
2024,Buccaneers,10,18,0.5555555555555556
2024,Cardinals,8,17,0.47058823529411764
2024,Chargers,11,18,0.6111111111111112
2024,Chiefs,17,20,0.85
2024,Colts,8,17,0.47058823529411764
2024,Commanders,14,20,0.7
2024,Cowboys,7,17,0.4117647058823529
2024,Dolphins,8,17,0.47058823529411764
2024,Eagles,18,21,0.8571428571428571
2024,Falcons,8,17,0.47058823529411764
2024,Giants,3,17,0.17647058823529413
2024,Jaguars,4,17,0.23529411764705882
2024,Jets,5,17,0.29411764705882354
2024,Lions,15,18,0.8333333333333334
2024,Packers,11,18,0.6111111111111112
2024,Panthers,5,17,0.29411764705882354
2024,Patriots,4,17,0.23529411764705882
2024,Raiders,4,17,0.23529411764705882
2024,Rams,11,19,0.5789473684210527
2024,Ravens,13,19,0.6842105263157895
2024,Saints,5,17,0.29411764705882354
2024,Seahawks,10,17,0.5882352941176471
2024,Steelers,10,18,0.5555555555555556
2024,Texans,11,19,0.5789473684210527
2024,Titans,3,17,0.17647058823529413
2024,Vikings,14,18,0.7777777777777778
2025,49ers,13,19,0.6842105263157895
2025,Bears,12,19,0.631578947368421
2025,Bengals,6,17,0.35294117647058826
2025,Bills,13,19,0.6842105263157895
2025,Broncos,15,19,0.7894736842105263
2025,Browns,5,17,0.29411764705882354
2025,Buccaneers,8,17,0.47058823529411764
2025,Cardinals,3,17,0.17647058823529413
2025,Chargers,11,18,0.6111111111111112
2025,Chiefs,6,17,0.35294117647058826
2025,Colts,8,17,0.47058823529411764
2025,Commanders,5,17,0.29411764705882354
2025,Cowboys,7,17,0.4117647058823529
2025,Dolphins,7,17,0.4117647058823529
2025,Eagles,11,18,0.6111111111111112
2025,Falcons,8,17,0.47058823529411764
2025,Giants,4,17,0.23529411764705882
2025,Jaguars,13,18,0.7222222222222222
2025,Jets,3,17,0.17647058823529413
2025,Lions,9,17,0.5294117647058824
2025,Packers,9,18,0.5
2025,Panthers,8,18,0.4444444444444444
2025,Patriots,17,21,0.8095238095238095
